"","id","group","genotype","treatment","machine","other","date","timeofday","median_speed","distance_traveled_mm_p_min","turning_angle","meander","activitytime_ST","act_bouts_ST","pause_duration_ST","numb_pause_ST","activitytime_TT","act_bouts_TT","pause_length_TT","numb_pauses_TT","centrophobism_moving","centrophobism_sitting","number_of_walks","stripe_deviation","genotype","treatment","machine","other","date","timeofday","centrophobism_moving","centrophobism_sitting","stripe_deviation"
"1","100_CSJC","CS_JC_2ndcross","CS_JC","none","A","2ndcross",2013-09-20,2013-09-30 08:26:27,17.6122386054162,510.940185142086,7.08158436814836,0.392050734356863,143.499999523163,3.14999997615814,1.5,19,138.900000095367,1.10000014305115,2.75,22,-0.168539325842697,0.255230125523013,13,13.1313398096326,"CS_JC","none","A","2ndcross",2013-09-20,2013-09-30 08:26:27,-0.168539325842697,0.255230125523013,13.1313398096326
"2","101_CSBJC","CS_JC_2ndcross","CS_JC","none","B","2ndcross",2013-09-20,2013-09-30 09:23:01,13.3093301470623,231.145092263559,11.8844266471337,0.778924701172993,135.099999904633,2.70000004768372,1.5,31,135.699999809265,2.70000004768372,2.40000009536743,25,-0.152368758002561,-0.568856885688569,3,28.0406947101943,"CS_JC","none","B","2ndcross",2013-09-20,2013-09-30 09:23:01,-0.152368758002561,-0.568856885688569,28.0406947101943
"3","102_CSJC","CS_JC_2ndcross","CS_JC","none","C","2ndcross",2013-09-20,2013-09-30 10:13:03,15.9188681804226,368.327126762829,9.29123379297157,0.556088394013322,159.299999952316,3.79999995231628,0.900000095367432,13,159.199999809265,1.10000002384186,1.45000004768372,14,0.0261780104712042,-0.540118470651589,9,18.2768605292411,"CS_JC","none","C","2ndcross",2013-09-20,2013-09-30 10:13:03,0.0261780104712042,-0.540118470651589,18.2768605292411
"4","103_CSJC","CS_JC_2ndcross","CS_JC","none","D","2ndcross",2013-09-20,2013-09-30 08:58:40,16.5038787271226,717.444774375848,7.54849732248183,0.452146881056341,273.600000619888,11.3000001907349,1.04999995231628,14,270.999999523163,17.4499999284744,1.79999995231628,11,-0.0771428571428571,0.173864894795127,15,19.308994765474,"CS_JC","none","D","2ndcross",2013-09-20,2013-09-30 08:58:40,-0.0771428571428571,0.173864894795127,19.308994765474
"5","104_CSTP","CS_TP_2ndcross","CS_TP","none","A","2ndcross",2013-09-20,2013-09-30 09:10:37,15.5501773681151,777.795393334284,6.55529887619025,0.403374778560888,291.099999666214,6.79999995231628,0.50000011920929,8,293.799999952316,97,3.04999995231628,2,0.373134328358209,0.570219966159052,23,24.2239840374919,"CS_TP","none","A","2ndcross",2013-09-20,2013-09-30 09:10:37,0.373134328358209,0.570219966159052,24.2239840374919
"6","105_CSTP","CS_TP_2ndcross","CS_TP","none","B","2ndcross",2013-09-20,2013-09-30 08:49:46,16.1131212138155,455.115116639681,7.40149444296749,0.439701168435705,150.499999761581,2.89999997615814,3,17,146.200000047684,1.60000002384186,3.5,19,-0.341463414634146,0.354883081155433,8,14.4668267592718,"CS_TP","none","B","2ndcross",2013-09-20,2013-09-30 08:49:46,-0.341463414634146,0.354883081155433,14.4668267592718
"7","106_CSTP","CS_TP_2ndcross","CS_TP","none","C","2ndcross",2013-09-20,2013-09-30 08:59:29,17.277156673772,794.539731574035,6.59162962335326,0.364812006074663,272.299999952316,16.3500000238419,1.20000004768372,9,270.600000143051,16.2000000476837,2.14999997615814,8,0.189423493714781,0.416666666666667,27,17.202591053223,"CS_TP","none","C","2ndcross",2013-09-20,2013-09-30 08:59:29,0.189423493714781,0.416666666666667,17.202591053223
"8","107_CSTP","CS_TP_2ndcross","CS_TP","none","D","2ndcross",2013-09-20,2013-09-30 09:42:54,16.1620350911724,812.967926188304,7.58395534397329,0.449498845083994,294.000000238419,39.3999998569489,1.04999995231628,4,294.000000238419,68.6000000238419,1.70000004768372,3,-0.213220475614672,0.436781609195402,14,18.5965199133404,"CS_TP","none","D","2ndcross",2013-09-20,2013-09-30 09:42:54,-0.213220475614672,0.436781609195402,18.5965199133404
"9","108_CSBVS","CS_BS_2ndcross","CS_BS","none","A","2ndcross",2013-09-20,2013-09-30 09:21:43,14.8886867875141,518.828230925096,6.35658234141153,0.386417648104623,229.199998617172,7.54999995231628,0.600000143051147,25,230.799999952316,19.2999999523163,2.35000014305115,14,-0.327348892878516,-0.33033033033033,21,6.31753109801719,"CS_BS","none","A","2ndcross",2013-09-20,2013-09-30 09:21:43,-0.327348892878516,-0.33033033033033,6.31753109801719
"10","109_CSBvs","CS_BS_2ndcross","CS_BS","none","B","2ndcross",2013-09-20,2013-09-30 08:22:38,14.2972057510056,400.366699340465,5.71643303848302,0.383611987461297,175.700000286102,5.95000004768372,1.64999997615814,16,171.399999856949,3.34999990463257,3.50000011920929,14,-0.23991195891416,-0.61219512195122,13,12.7590079631144,"CS_BS","none","B","2ndcross",2013-09-20,2013-09-30 08:22:38,-0.23991195891416,-0.61219512195122,12.7590079631144
"11","110_CSBVS","CS_BS_2ndcross","CS_BS","none","C","2ndcross",2013-09-20,2013-09-30 09:54:06,16.2253313572053,657.356597668734,6.62661860088872,0.369464125601881,256.599999666214,8.20000004768372,0.75,18,258.499999284744,8.99999988079071,1.10000014305115,11,-0.227642276422764,0.304347826086957,27,9.69669835287424,"CS_BS","none","C","2ndcross",2013-09-20,2013-09-30 09:54:06,-0.227642276422764,0.304347826086957,9.69669835287424
"12","111_CSBVS","CS_BS_2ndcross","CS_BS","none","D","2ndcross",2013-09-20,2013-09-30 09:08:58,14.0429159770682,639.790076564432,6.88606921624715,0.455291031911619,281.5,26.4499999284744,1.89999985694885,9,280.700000047684,30.1000001430511,1.80000007152557,8,-0.430630630630631,-0.102199223803364,18,11.411235717736,"CS_BS","none","D","2ndcross",2013-09-20,2013-09-30 09:08:58,-0.430630630630631,-0.102199223803364,11.411235717736
"13","112_CSJC","CS_HS_2ndcross","CS_HS","none","A","2ndcross",2013-09-20,2013-09-30 08:46:56,15.0008946453143,638.145574872642,5.94732506182075,0.370192365182958,256.000000953674,6.40000009536743,2.09999990463257,19,249.000000238419,7.70000004768372,3.09999990463257,17,-0.310378273520854,-0.404888416578108,20,14.6756503202377,"CS_HS","none","A","2ndcross",2013-09-20,2013-09-30 08:46:56,-0.310378273520854,-0.404888416578108,14.6756503202377
"14","113_CSHS","CS_HS_2ndcross","CS_HS","none","B","2ndcross",2013-09-20,2013-09-30 09:01:33,17.5043203812578,703.351363872246,5.35418828743534,0.282689515802924,236.699999332428,9.20000004768372,2.60000002384186,18,234.500000476837,11.9000000953674,2.45000004768372,20,-0.37435367114788,0.31711880261927,21,8.38196332208661,"CS_HS","none","B","2ndcross",2013-09-20,2013-09-30 09:01:33,-0.37435367114788,0.31711880261927,8.38196332208661
"15","114_CSHS","CS_HS_2ndcross","CS_HS","none","C","2ndcross",2013-09-20,2013-09-30 09:07:50,10.8642467972323,174.942796045308,9.35072789822006,0.787054728913289,160.199999809265,17.9000000953674,0.900000095367432,11,165.200000047684,28.4500000476837,7.74999988079071,4,-0.377260981912145,-0.625620207487596,6,9.58109394045136,"CS_HS","none","C","2ndcross",2013-09-20,2013-09-30 09:07:50,-0.377260981912145,-0.625620207487596,9.58109394045136
