"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","group"
"1 CS_JC_2ndcross",-0.231407896218788,-1.09362381490854,1.27309738120564,-0.0892514107615755,-0.185279215418138,-0.156598580892011,-0.543406721314943,0.932536578887345,0.0745432467420765,-0.144673682605094,-0.141969112925478,0.317568756682763,"CS_JC"
"2 CS_JC_2ndcross",4.65804347012966,0.00730536471055021,-1.62539142562533,1.06089749864455,-0.106745190452574,1.91433031950394,-0.47199951143812,0.705457286088186,-0.0153589882582888,-0.324229921391007,0.319669398806194,-0.0831469159641997,"CS_JC"
"3 CS_JC_2ndcross",1.66651145969608,-0.514481175707862,-0.286668584621176,0.194824487135594,-0.412158541464087,1.37869510246178,0.529754086170819,1.18881362585499,-0.174224389055681,0.315080252010244,0.0297937625165137,-0.118777326740449,"CS_JC"
"4 CS_JC_2ndcross",-1.3683604622908,0.278186844105621,-0.372321882815571,0.201568830224581,-0.0620885361405087,0.968669103310785,0.0547198790310174,0.24502715753216,0.603736821831372,0.0569825331740533,-0.110818553916437,0.0122225208864267,"CS_JC"
"5 CS_TP_2ndcross",-3.18321981781892,2.2912950264379,-2.34353531630823,-0.993052170723287,-2.32764166297546,-0.412888034107411,-0.57702944025579,-0.47672171554503,-0.126493981870844,0.444515699170291,-0.0369856999394871,0.0694971250596385,"CS_TP"
"6 CS_TP_2ndcross",0.468945220074449,-1.0403135982145,0.468382688842125,-0.189419930040971,0.206293590880541,-0.444162573403933,-0.407436861815074,0.838103691792617,0.71983218995823,-0.383134655720129,-0.00529867925526116,0.221208869333747,"CS_TP"
"7 CS_TP_2ndcross",-2.9043461136586,0.718653378376025,0.241386385317446,-0.164649697450138,0.166802307705175,0.586662501674782,0.107488213919883,0.364633800404508,-0.603646057936181,0.146036961336129,-0.0869851971554505,0.157772411148828,"CS_TP"
"8 CS_TP_2ndcross",-2.43411548981514,0.828191883851089,-2.1836077139934,-0.189940507687195,-1.44785561629821,0.51654319526018,-0.536016825168503,0.31729561807429,1.28578948554169,-0.0105726463574525,-0.0284322373984771,0.151258416201151,"CS_TP"
"9 CS_BS_2ndcross",-1.38408406934775,-1.76752734813776,-0.821885748987448,-0.320968938079701,0.0488619940168464,-0.0723057315612053,0.346448162752483,-0.134015147962338,-0.50172114126716,0.271265939367533,0.100000240550162,-0.165188093698679,"CS_BS"
"10 CS_BS_2ndcross",-0.0152383450129274,-1.88811138516322,-0.0387435527451701,-1.04085537503422,0.0663286364068034,-0.476696836676499,1.19777709878923,-0.436713563391162,-0.220971303935361,0.108704285978533,-0.0936720528814181,0.0106331176509217,"CS_BS"
"11 CS_BS_2ndcross",-2.49781550848533,-0.752507736147819,-0.222413422039728,0.368643041661008,0.540033225885592,0.213604051311858,0.184126613852747,0.503484520614876,-0.59937150994739,-0.170148027181585,0.151117270229968,-0.121013358269998,"CS_BS"
"12 CS_BS_2ndcross",-1.58035753350128,-0.925457644869278,-1.92482774572877,0.0177514185057826,0.11333472879445,0.276942661433267,0.427188274578172,-0.259537927477723,0.364914654021823,-0.0492533767410693,0.0604919752978932,-0.0916741330015873,"CS_BS"
"13 CS_HS_2ndcross",-1.43694294274556,-1.40789545219114,-0.136934082332536,-0.454191354362231,0.387003130422042,0.337685624129025,0.489897601631119,-0.949721918565348,-0.208537147698435,-0.0843975085726398,0.0262792367371032,0.0688978300877898,"CS_HS"
"14 CS_HS_2ndcross",-2.73119316649258,-1.55138752379258,0.926755960631834,-0.140356599174188,0.0971430212367917,-0.369908535195561,-0.459365253777177,-0.0724122938412762,0.156892134283463,-0.146762174826502,-0.12259387332625,0.122766197850732,"CS_HS"
"15 CS_HS_2ndcross",3.25215001179479,-0.8571995531725,-3.99140570793656,-1.68218796448938,0.887390449131135,0.0642290041369258,-0.0144922655920241,0.53710568177307,0.0599875613109999,0.35420570508579,-0.452314195976001,-0.326943481807257,"CS_HS"
"16 CS_HS_2ndcross",0.634500172550877,-2.8076681240708,0.401888003106546,-1.60275666553712,0.0163051241017428,-0.643477439358797,0.185631793395241,-0.415490713840048,0.0224766162212929,0.376616461391886,-0.0291666789902973,0.0202853117667096,"CS_HS"
"17 CS_TZ_2ndcross",-0.4947607739235,0.644784251201162,0.886222366389035,-0.632409487396002,-1.06400821877505,0.784208028142596,1.65035841908943,-0.137331544590584,-0.383519914978787,0.238509561261894,-0.0344076145610533,0.110487603112489,"CS_TZ"
"18 CS_TZ_2ndcross",6.62428085323858,0.990834756941582,-1.26373560360401,-2.51808991947146,0.463970991347465,1.30824911251945,-0.862990037698974,0.522024316971749,-0.760315468951972,0.136113588090119,-0.102164419984991,0.207125060468866,"CS_TZ"
"19 CS_TZ_2ndcross",-4.39652099213575,-0.398259004002665,2.34253238001542,0.249614761449171,-0.148035126742245,0.671143219982577,-1.1540988362103,0.960754362874102,-0.535914729808276,-0.0882468539675195,-0.416802912636177,-0.280961893113858,"CS_TZ"
"20 CS_TZ_2ndcross",0.551752567889126,1.06461241652475,0.288659402172125,0.590679612504049,-0.0705892608894561,0.336617524470319,0.415636161667267,-0.521822387536107,-0.154714224025417,0.356576100912621,0.0586445020272828,-0.00193057593850315,"CS_TZ"
"21 CS_JC_2ndcross",-0.594790638820297,-0.384332395257398,0.51751744255725,0.437692131557707,-0.150919350287031,1.13193233392442,0.150279345361204,-0.322306816689265,0.0789702640467417,0.108660559948245,-0.00542201162864558,0.0330849490413629,"CS_JC"
"22 CS_JC_2ndcross",-1.0183248519435,0.658477365796378,1.242395229163,0.626381602669531,-0.128650045026723,1.21993368093429,-0.420989791248272,0.257670768443075,0.08736929665102,-0.0427737690563461,0.0973598890270417,-0.0720957455358557,"CS_JC"
"23 CS_JC_2ndcross",0.629334214939637,-0.90538602575375,1.06406287075212,1.08761992822697,-0.26369196393593,0.397668292759098,-0.733126065982853,-1.00859501849144,-0.098654189047941,0.131030641401341,0.0218715607607801,-0.0491622348670608,"CS_JC"
"24 CS_TP_2ndcross",1.26618329485558,0.229878393845869,0.493339164485749,0.784803990413994,-0.169319166481941,0.805893259725338,-0.289026964724896,-0.416475942048277,-0.377373832203652,0.243722153880555,0.0541278313556118,0.123121329040035,"CS_TP"
"25 CS_TP_2ndcross",-0.196581220347806,1.82909781851773,1.11983992590733,0.487733407275774,-0.0936987602618834,0.652388229788355,-0.131198117012969,0.310247661003135,-0.00806900099362691,-0.259624027569145,0.128288033613742,-0.037394933291805,"CS_TP"
