"","id","group","genotype","treatment","machine","other","date","timeofday","length_experiment","median_speed","distance_traveled_mm__permin","turning_angle","meander","activitytime_permin_ST","act_bouts_ST","pause_duration_ST","numb_pause_permin_ST","activitytime_permin_TT","act_bouts_TT","pause_length_TT","numb_pauses_permin_TT","centrophobism_moving","centrophobism_sitting","number_of_walks_permin","stripe_deviation"
"1","100_CSJC","CS_JC_2ndcross","CS_JC","none","A","2ndcross",2013-09-20,2014-10-23 08:26:27,3.76499999761581,17.6122386054162,510.940185142086,7.08158436814836,0.392050734356863,38.1142097248431,3.14999997615814,1.5,5.04648074688758,36.8924303275766,1.10000014305115,2.75,5.84329349639615,-0.168539325842697,0.255230125523013,3.45285524787045,13.1313398096326
"2","101_CSBJC","CS_JC_2ndcross","CS_JC","none","B","2ndcross",2013-09-20,2014-10-23 09:23:01,4.99833333094915,13.3093301470623,231.145092263559,11.8844266471337,0.778924701172993,27.0290096637029,2.70000004768372,1.5,6.20206735874362,27.149049658018,2.70000004768372,2.40000009536743,5.00166722479324,-0.152368758002561,-0.568856885688569,0.600200066975189,28.0406947101943
"3","102_CSJC","CS_JC_2ndcross","CS_JC","none","C","2ndcross",2013-09-20,2014-10-23 10:13:03,4.99833333492279,15.9188681804226,368.327126762829,9.29123379297157,0.556088394013322,31.8706235215057,3.79999995231628,0.900000095367432,2.60086695482482,31.8506168240027,1.10000002384186,1.45000004768372,2.80093364365749,0.0261780104712042,-0.540118470651589,1.8006001994941,18.2768605292411
"4","103_CSJC","CS_JC_2ndcross","CS_JC","none","D","2ndcross",2013-09-20,2014-10-23 08:58:40,4.99833333094915,16.5038787271226,717.444774375848,7.54849732248183,0.452146881056341,54.7382462321563,11.3000001907349,1.04999995231628,2.80093364588422,54.2180726213595,17.4499999284744,1.79999995231628,2.20073357890903,-0.0771428571428571,0.173864894795127,3.00100033487595,19.308994765474
"5","104_CSTP","CS_TP_2ndcross","CS_TP","none","A","2ndcross",2013-09-20,2014-10-23 09:10:37,4.99833333094915,15.5501773681151,777.795393334284,6.55529887619025,0.403374778560888,58.2394130987131,6.79999995231628,0.50000011920929,1.60053351193384,58.7795932162303,97,3.04999995231628,0.40013337798346,0.373134328358209,0.570219966159052,4.60153384680979,24.2239840374919
"6","105_CSTP","CS_TP_2ndcross","CS_TP","none","B","2ndcross",2013-09-20,2014-10-23 08:49:46,4.32999999920527,16.1131212138155,455.115116639681,7.40149444296748,0.439701168435704,34.7575057249894,2.89999997615814,3,3.92609699841113,33.7644341973481,1.60000002384186,3.5,4.38799076293008,-0.341463414634146,0.354883081155433,1.84757505807582,14.4668267592718
"7","106_CSTP","CS_TP_2ndcross","CS_TP","none","C","2ndcross",2013-09-20,2014-10-23 08:59:29,4.99833333094915,17.277156673772,794.539731574035,6.59162962335321,0.364812006074663,54.4781594029081,16.3500000238419,1.20000004768372,1.80060020092557,54.1380460697819,16.2000000476837,2.14999997615814,1.60053351193384,0.189423493714781,0.416666666666667,5.4018006027767,17.202591053223
"8","107_CSTP","CS_TP_2ndcross","CS_TP","none","D","2ndcross",2013-09-20,2014-10-23 09:42:54,4.99833333492279,16.1620350911724,812.967926188304,7.58395534397329,0.449498845083994,58.819606564507,39.3999998569489,1.04999995231628,0.800266755330712,58.819606564507,68.6000000238419,1.70000004768372,0.600200066498034,-0.213220475614672,0.436781609195402,2.80093364365749,18.5965199133404
"9","108_CSBVS","CS_BS_2ndcross","CS_BS","none","A","2ndcross",2013-09-20,2014-10-23 09:21:43,4.99833333492279,14.8886867875141,518.828230925096,6.35658234141153,0.386417648104623,45.855284803792,7.54999995231628,0.600000143051147,5.00166722081695,46.1753917730422,19.2999999523163,2.35000014305115,2.80093364365749,-0.327348892878516,-0.33033033033033,4.20140046548624,6.31753109801719
"10","109_CSBvs","CS_BS_2ndcross","CS_BS","none","B","2ndcross",2013-09-20,2014-10-23 08:22:38,4.99833333094915,14.2972057510056,400.366699340465,5.71643303848302,0.383611987461297,35.1517173130865,5.95000004768372,1.64999997615814,3.20106702386768,34.2914304645627,3.34999990463257,3.50000011920929,2.80093364588422,-0.23991195891416,-0.61219512195122,2.60086695689249,12.7590079631144
"11","110_CSBVS","CS_BS_2ndcross","CS_BS","none","C","2ndcross",2013-09-20,2014-10-23 09:54:06,4.99833333094915,16.2253313572053,657.356597668734,6.62661860088872,0.369464125601881,51.3371123284984,8.20000004768372,0.75,3.60120040185114,51.7172389612633,8.99999988079071,1.10000014305115,2.20073357890903,-0.227642276422764,0.304347826086957,5.4018006027767,9.69669835287424
"12","111_CSBVS","CS_BS_2ndcross","CS_BS","none","D","2ndcross",2013-09-20,2014-10-23 09:08:58,4.98166666825612,14.0429159770682,639.790076564432,6.88606921624715,0.455291031911619,56.5071930231216,26.4499999284744,1.89999985694885,1.80662428848346,56.3466042070505,30.1000001430511,1.80000007152557,1.60588825642974,-0.430630630630631,-0.102199223803364,3.61324857696692,11.411235717736
"13","112_CSJC","CS_HS_2ndcross","CS_HS","none","A","2ndcross",2013-09-20,2014-10-23 08:46:56,4.99833333094915,15.0008946453143,638.145574872642,5.94732506182075,0.370192365182958,51.2170725726813,6.40000009536743,2.09999990463257,3.80126709084287,49.8166056066403,7.70000004768372,3.09999990463257,3.40113371285941,-0.310378273520854,-0.404888416578108,4.0013337798346,14.6756503202377
